"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"AGJ713","AGJ713 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (TOUCHET R. AT DAYTON CITY PARK, RIVER MILE 53.8)",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3134743125778,-117.974658683244,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SE","#","",1615,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","","","","","","KSIN0007",,4320551
"AGJ714","AGJ714 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (SOUTH FK. TOUCHET R. AT RIVER MILE 0.02)",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3009744123849,-117.959379018444,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",32,"#","#","",1662,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","","","","","","KSIN0007",,9265551
"AGJ715","AGJ715 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (TOUCHET R. AT RIVER MILE 54.9)",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3015294170015,-117.959657058587,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",32,"#","#","",1660,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","","","","","","KSIN0007",,30651
"AGJ716","AGJ716 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (WOLF CREEK AT RIVER MILE 4.7)",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.2215303358838,-117.87492581163,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",9,"N",39,"E",36,"NE","NW","",2340,"FT","NGVD29","+/- 20 ft (6 m)","Paper map interpolation","","","","","","KSIN0007",,8240651
"AGJ717","AGJ717 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (N. FK. TOUCHET R. AT RIVER MILE 8.9 )",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.2168089003109,-117.850201824149,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",9,"N",40,"E",31,"NE","SW","",2400,"FT","NGVD29","+/- 20 ft (6 m)","Paper map interpolation","","","","","","KSIN0007",,3160651
"AGJ722","AGJ722 (INSTREAM PIEZOMETER)","Stream/River","Channeled, flowing water","INSTREAM PIEZOMETER (TOUCHET R NEAR LOWER HOGEYE RD, AT RIVER MILE 46.2)",,"Y","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.2748619873352,-118.11383701791,"Discrete monitoring point","+/- 100 ft (30 m)","GPS consumer unit or unknown (code phase)","",9,"N",38,"E",7,"NW","SW","",1310,"FT","NGVD29","+/- 10 ft (3 m)","Paper map interpolation","","","","","","KSIN0007",,4541651
"BIO06600-ROFO11","ROBINSON FORK","Stream/River","Channeled, flowing water","ROBINSON FORK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.20751,-117.89944,"Stream segment, can include riparian zone","+/- 100 ft (30 m)","Computer map - GIS-based","",,"",,"",,"","","",,"","","","","","","","","","WHM_BIO, WHM_BIO_P",5/30/2019 1:11:30 AM,100092021
"BIO06600-SPAN11","SPANGLER CREEK","STREAM/RIVER","Channeled, flowing water","SPANGLER CREEK",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102001158",3.62425,2/22/2012 12:00:00 AM,46.1483,-117.8035,"Stream segment, can include riparian zone","+/- 250 ft (76 m)","GPS high-end consumer unit (DGPS or WAAS enabled)","",8,"N",40,"E",27,"NW","NW","",,"","","","","","","","","","WHM_BIO, WHM_BIO_P",,8314230
"FS95362668-1","FS95362668_B-1","Land","On or below land surface, including most wells","Located approximately 44 feet SE of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3153599998835,-117.990959999994,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:00 PM,100066376
"FS95362668-2","FS95362668_B-2","Land","On or below land surface, including most wells","Located approximately 96 feet NE of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3156262810612,-117.991008122071,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:01 PM,100066377
"FS95362668-3","FS95362668_B-3","Land","On or below land surface, including most wells","Located approximately 53 feet NW of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3154399998541,-117.991319999889,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:01 PM,100066378
"FS95362668-4","FS95362668_B-4","Land","On or below land surface, including most wells","Located approximately 112 feet SE of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3150572814738,-117.990938080867,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:02 PM,100066379
"FS95362668-5","FS95362668_MW-1","Land","On or below land surface, including most wells","Located approximately 55 feet NE of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.3154084892064,-117.990920490799,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:02 PM,100066380
"FS95362668-6","FS95362668_MW-2","Land","On or below land surface, including most wells","Located approximately 124 feet NW of the center of the current study area",95362668,"Y","","Dayton","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"",,,46.315687985491,-117.991328684217,"Discrete monitoring point","+/- 1 ft (0.3 m)","GPS consumer unit or unknown (code phase)","",10,"N",39,"E",30,"SW","NW","",,"","","","","","","","","","FS95362668",6/21/2017 5:17:03 PM,100066381
