35B150--Tucannon R. nr Marengo

DATE         TIME    STAGE (ft.)   QUALITY
04/16/2003   00:00            ""       255
04/17/2003   00:00            ""       255
04/18/2003   00:00            ""       255
04/19/2003   00:00            ""       255
04/20/2003   00:00            ""       255
04/21/2003   00:00            ""       255
04/22/2003   00:00            ""       255
04/23/2003   00:00            ""       255
04/24/2003   00:00            ""       255
04/25/2003   00:00            ""       255
04/26/2003   00:00            ""       255
04/27/2003   00:00            ""       255
04/28/2003   00:00            ""       255
04/29/2003   00:00            ""       255
04/30/2003   00:00            ""       255
05/01/2003   00:00            ""       255
05/02/2003   00:00            ""       255
05/03/2003   00:00            ""       255
05/04/2003   00:00            ""       255
05/05/2003   00:00            ""       255
05/06/2003   00:00            ""       255
05/07/2003   00:00            ""       255
05/08/2003   00:00            ""       255
05/09/2003   00:00            ""       255
05/10/2003   00:00            ""       255
05/11/2003   00:00            ""       255
05/12/2003   00:00            ""       255
05/13/2003   00:00            ""       255
05/14/2003   00:00            ""       255
05/15/2003   00:00            ""       255
05/16/2003   00:00            ""       255
05/17/2003   00:00            ""       255
05/18/2003   00:00            ""       255
05/19/2003   00:00            ""       255
05/20/2003   00:00            ""       255
05/21/2003   00:00            ""       255
05/22/2003   00:00            ""       255
05/23/2003   00:00            ""       255
05/24/2003   00:00            ""       255
05/25/2003   00:00            ""       255
05/26/2003   00:00            ""       255
05/27/2003   00:00            ""       255
05/28/2003   00:00            ""       255
05/29/2003   00:00            ""       255
05/30/2003   00:00            ""       255
05/31/2003   00:00            ""       255
06/01/2003   00:00            ""       255
06/02/2003   00:00            ""       255
06/03/2003   00:00            ""       255
06/04/2003   00:00          4.75         1
06/05/2003   00:00          4.71         1
06/06/2003   00:00          4.70         1
06/07/2003   00:00          4.68         1
06/08/2003   00:00          4.67         1
06/09/2003   00:00          4.67         1
06/10/2003   00:00          4.66         1
06/11/2003   00:00          4.65         1
06/12/2003   00:00          4.64         1
06/13/2003   00:00          4.63         1
06/14/2003   00:00          4.62         1
06/15/2003   00:00          4.60         1
06/16/2003   00:00          4.60         1
06/17/2003   00:00          4.59         1
06/18/2003   00:00          4.58         1
06/19/2003   00:00          4.58         1
06/20/2003   00:00          4.58         1
06/21/2003   00:00          4.58         1
06/22/2003   00:00          4.58         1
06/23/2003   00:00          4.57         1
06/24/2003   00:00          4.56         1
06/25/2003   00:00          4.55         1
06/26/2003   00:00          4.54         1
06/27/2003   00:00          4.53         1
06/28/2003   00:00          4.54         1
06/29/2003   00:00          4.53         1
06/30/2003   00:00          4.54         1
07/01/2003   00:00          4.53         1
07/02/2003   00:00          4.53         1
07/03/2003   00:00          4.52         1
07/04/2003   00:00          4.51         1
07/05/2003   00:00          4.51         1
07/06/2003   00:00          4.50         1
07/07/2003   00:00          4.50         1
07/08/2003   00:00          4.51         1
07/09/2003   00:00          4.49         1
07/10/2003   00:00          4.48         1
07/11/2003   00:00          4.47         1
07/12/2003   00:00          4.46         1
07/13/2003   00:00          4.46         1
07/14/2003   00:00          4.47         1
07/15/2003   00:00          4.46         1
07/16/2003   00:00          4.45         1
07/17/2003   00:00          4.45         1
07/18/2003   00:00          4.45         1
07/19/2003   00:00          4.44         1
07/20/2003   00:00          4.44         1
07/21/2003   00:00          4.44         1
07/22/2003   00:00          4.44         1
07/23/2003   00:00          4.42         1
07/24/2003   00:00          4.42         1
07/25/2003   00:00          4.41         1
07/26/2003   00:00          4.42         1
07/27/2003   00:00          4.42         1
07/28/2003   00:00          4.41         1
07/29/2003   00:00          4.40         1
07/30/2003   00:00          4.39         1
07/31/2003   00:00          4.39         1
08/01/2003   00:00          4.38         1
08/02/2003   00:00          4.39         1
08/03/2003   00:00          4.46         1
08/04/2003   00:00          4.44         1
08/05/2003   00:00          4.42         1
08/06/2003   00:00          4.43         1
08/07/2003   00:00          4.41         1
08/08/2003   00:00          4.40         1
08/09/2003   00:00          4.39         1
08/10/2003   00:00          4.39         1
08/11/2003   00:00          4.41         1
08/12/2003   00:00          4.42         1
08/13/2003   00:00          4.42         1
08/14/2003   00:00          4.41         1
08/15/2003   00:00          4.40         1
08/16/2003   00:00          4.40         1
08/17/2003   00:00          4.40         1
08/18/2003   00:00          4.39         1
08/19/2003   00:00          4.39         1
08/20/2003   00:00          4.38         1
08/21/2003   00:00          4.38         1
08/22/2003   00:00          4.39         1
08/23/2003   00:00          4.40         1
08/24/2003   00:00          4.39         1
08/25/2003   00:00          4.38         1
08/26/2003   00:00          4.37         1
08/27/2003   00:00          4.37         1
08/28/2003   00:00          4.38         1
08/29/2003   00:00          4.38         1
08/30/2003   00:00          4.37         1
08/31/2003   00:00          4.37         1
09/01/2003   00:00          4.37         1
09/02/2003   00:00          4.37         1
09/03/2003   00:00          4.37         1
09/04/2003   00:00          4.37         1
09/05/2003   00:00          4.37         1
09/06/2003   00:00          4.37         1
09/07/2003   00:00          4.38         1
09/08/2003   00:00          4.44         1
09/09/2003   00:00          4.46         1
09/10/2003   00:00          4.43         1
09/11/2003   00:00          4.43         1
09/12/2003   00:00          4.42         1
09/13/2003   00:00          4.41         1
09/14/2003   00:00          4.41         1
09/15/2003   00:00          4.40         1
09/16/2003   00:00          4.42         1
09/17/2003   00:00          4.42         1
09/18/2003   00:00          4.42         1
09/19/2003   00:00          4.41         1
09/20/2003   00:00          4.40         1
09/21/2003   00:00          4.40         1
09/22/2003   00:00          4.40         1
09/23/2003   00:00          4.40         1
09/24/2003   00:00          4.39         1
09/25/2003   00:00          4.39         1
09/26/2003   00:00          4.39         1
09/27/2003   00:00          4.39         1
09/28/2003   00:00          4.39         1
09/29/2003   00:00          4.39         1
09/30/2003   00:00          4.40         1
10/01/2003   00:00          4.40         2
